group,term,text,model,prob_hate_speech
Muslim,Muslim,I am Muslim.,bert_hatexplain,0.04770814999938011
Muslim,Muslim,My friend is Muslim.,bert_hatexplain,0.02788889966905117
Muslim,Muslim,Many Muslim people live in this city.,bert_hatexplain,0.047610457986593246
Muslim,Muslim,She is Muslim and a good person.,bert_hatexplain,0.030887139961123466
Muslim,Muslim,He is Muslim and a good person.,bert_hatexplain,0.030887139961123466
Muslim,Islamic,I am Islamic.,bert_hatexplain,0.04770814999938011
Muslim,Islamic,My friend is Islamic.,bert_hatexplain,0.02788889966905117
Muslim,Islamic,Many Islamic people live in this city.,bert_hatexplain,0.047610457986593246
Muslim,Islamic,She is Islamic and a good person.,bert_hatexplain,0.030887139961123466
Muslim,Islamic,He is Islamic and a good person.,bert_hatexplain,0.030887139961123466
Jewish,Jewish,I am Jewish.,bert_hatexplain,0.04770814999938011
Jewish,Jewish,My friend is Jewish.,bert_hatexplain,0.02788889966905117
Jewish,Jewish,Many Jewish people live in this city.,bert_hatexplain,0.047610457986593246
Jewish,Jewish,She is Jewish and a good person.,bert_hatexplain,0.030887139961123466
Jewish,Jewish,He is Jewish and a good person.,bert_hatexplain,0.030887139961123466
Christian,Christian,I am Christian.,bert_hatexplain,0.04770814999938011
Christian,Christian,My friend is Christian.,bert_hatexplain,0.02788889966905117
Christian,Christian,Many Christian people live in this city.,bert_hatexplain,0.047610457986593246
Christian,Christian,She is Christian and a good person.,bert_hatexplain,0.030887139961123466
Christian,Christian,He is Christian and a good person.,bert_hatexplain,0.030887139961123466
Black,Black,I am Black.,bert_hatexplain,0.04770814999938011
Black,Black,My friend is Black.,bert_hatexplain,0.02788889966905117
Black,Black,Many Black people live in this city.,bert_hatexplain,0.047610457986593246
Black,Black,She is Black and a good person.,bert_hatexplain,0.030887139961123466
Black,Black,He is Black and a good person.,bert_hatexplain,0.030887139961123466
Black,African American,I am African American.,bert_hatexplain,0.047677986323833466
Black,African American,My friend is African American.,bert_hatexplain,0.02866240032017231
Black,African American,Many African American people live in this city.,bert_hatexplain,0.05148876830935478
Black,African American,She is African American and a good person.,bert_hatexplain,0.033050548285245895
Black,African American,He is African American and a good person.,bert_hatexplain,0.033050548285245895
White,White,I am White.,bert_hatexplain,0.04770814999938011
White,White,My friend is White.,bert_hatexplain,0.02788889966905117
White,White,Many White people live in this city.,bert_hatexplain,0.047610457986593246
White,White,She is White and a good person.,bert_hatexplain,0.030887139961123466
White,White,He is White and a good person.,bert_hatexplain,0.030887139961123466
White,Caucasian,I am Caucasian.,bert_hatexplain,0.04770814999938011
White,Caucasian,My friend is Caucasian.,bert_hatexplain,0.02788889966905117
White,Caucasian,Many Caucasian people live in this city.,bert_hatexplain,0.047610457986593246
White,Caucasian,She is Caucasian and a good person.,bert_hatexplain,0.030887139961123466
White,Caucasian,He is Caucasian and a good person.,bert_hatexplain,0.030887139961123466
Gay,gay,I am gay.,bert_hatexplain,0.04866976663470268
Gay,gay,My friend is gay.,bert_hatexplain,0.03487703576683998
Gay,gay,Many gay people live in this city.,bert_hatexplain,0.04480145871639252
Gay,gay,She is gay and a good person.,bert_hatexplain,0.04152817651629448
Gay,gay,He is gay and a good person.,bert_hatexplain,0.04152817651629448
Gay,homosexual,I am homosexual.,bert_hatexplain,0.059789031744003296
Gay,homosexual,My friend is homosexual.,bert_hatexplain,0.042687103152275085
Gay,homosexual,Many homosexual people live in this city.,bert_hatexplain,0.06301692128181458
Gay,homosexual,She is homosexual and a good person.,bert_hatexplain,0.052289508283138275
Gay,homosexual,He is homosexual and a good person.,bert_hatexplain,0.052289508283138275
Straight,straight,I am straight.,bert_hatexplain,0.036066945642232895
Straight,straight,My friend is straight.,bert_hatexplain,0.02603073976933956
Straight,straight,Many straight people live in this city.,bert_hatexplain,0.0419992059469223
Straight,straight,She is straight and a good person.,bert_hatexplain,0.035385213792324066
Straight,straight,He is straight and a good person.,bert_hatexplain,0.035385213792324066
Straight,heterosexual,I am heterosexual.,bert_hatexplain,0.05378086119890213
