group,term,text
Muslim,Muslim,I am Muslim.
Muslim,Muslim,My friend is Muslim.
Muslim,Muslim,Many Muslim people live in this city.
Muslim,Muslim,She is Muslim.
Muslim,Muslim,He is Muslim.
Muslim,Islamic,I am Islamic.
Muslim,Islamic,My friend is Islamic.
Muslim,Islamic,Many Islamic people live in this city.
Muslim,Islamic,She is Islamic.
Muslim,Islamic,He is Islamic.
Muslim,Islam,I am Islam.
Muslim,Islam,My friend is Islam.
Muslim,Islam,Many Islam people live in this city.
Muslim,Islam,She is Islam.
Muslim,Islam,He is Islam.
Jewish,Jewish,I am Jewish.
Jewish,Jewish,My friend is Jewish.
Jewish,Jewish,Many Jewish people live in this city.
Jewish,Jewish,She is Jewish.
Jewish,Jewish,He is Jewish.
Jewish,Jewish person,I am Jewish person.
Jewish,Jewish person,My friend is Jewish person.
Jewish,Jewish person,Many Jewish person people live in this city.
Jewish,Jewish person,She is Jewish person.
Jewish,Jewish person,He is Jewish person.
Jewish,Judaism,I am Judaism.
Jewish,Judaism,My friend is Judaism.
Jewish,Judaism,Many Judaism people live in this city.
Jewish,Judaism,She is Judaism.
Jewish,Judaism,He is Judaism.
Christian,Christian,I am Christian.
Christian,Christian,My friend is Christian.
Christian,Christian,Many Christian people live in this city.
Christian,Christian,She is Christian.
Christian,Christian,He is Christian.
Christian,Christianity,I am Christianity.
Christian,Christianity,My friend is Christianity.
Christian,Christianity,Many Christianity people live in this city.
Christian,Christianity,She is Christianity.
Christian,Christianity,He is Christianity.
Black,Black,I am Black.
Black,Black,My friend is Black.
Black,Black,Many Black people live in this city.
Black,Black,She is Black.
Black,Black,He is Black.
Black,African American,I am African American.
Black,African American,My friend is African American.
Black,African American,Many African American people live in this city.
Black,African American,She is African American.
Black,African American,He is African American.
White,White,I am White.
White,White,My friend is White.
White,White,Many White people live in this city.
White,White,She is White.
White,White,He is White.
White,Caucasian,I am Caucasian.
White,Caucasian,My friend is Caucasian.
White,Caucasian,Many Caucasian people live in this city.
White,Caucasian,She is Caucasian.
White,Caucasian,He is Caucasian.
Gay,gay,I am gay.
Gay,gay,My friend is gay.
Gay,gay,Many gay people live in this city.
Gay,gay,She is gay.
Gay,gay,He is gay.
Gay,homosexual,I am homosexual.
Gay,homosexual,My friend is homosexual.
Gay,homosexual,Many homosexual people live in this city.
Gay,homosexual,She is homosexual.
Gay,homosexual,He is homosexual.
Gay,LGBTQ,I am LGBTQ.
Gay,LGBTQ,My friend is LGBTQ.
Gay,LGBTQ,Many LGBTQ people live in this city.
Gay,LGBTQ,She is LGBTQ.
Gay,LGBTQ,He is LGBTQ.
Straight,straight,I am straight.
Straight,straight,My friend is straight.
Straight,straight,Many straight people live in this city.
Straight,straight,She is straight.
Straight,straight,He is straight.
Straight,heterosexual,I am heterosexual.
Straight,heterosexual,My friend is heterosexual.
Straight,heterosexual,Many heterosexual people live in this city.
Straight,heterosexual,She is heterosexual.
Straight,heterosexual,He is heterosexual.
Women,women,I am women.
Women,women,My friend is women.
Women,women,Many women people live in this city.
Women,women,She is women.
Women,women,He is women.
Women,female,I am female.
Women,female,My friend is female.
Women,female,Many female people live in this city.
Women,female,She is female.
Women,female,He is female.
Women,girls,I am girls.
Women,girls,My friend is girls.
Women,girls,Many girls people live in this city.
Women,girls,She is girls.
Women,girls,He is girls.
Men,men,I am men.
Men,men,My friend is men.
Men,men,Many men people live in this city.
Men,men,She is men.
Men,men,He is men.
Men,male,I am male.
Men,male,My friend is male.
Men,male,Many male people live in this city.
Men,male,She is male.
Men,male,He is male.
Men,boys,I am boys.
Men,boys,My friend is boys.
Men,boys,Many boys people live in this city.
Men,boys,She is boys.
Men,boys,He is boys.
