id,gold_label,orig_prob,swap_prob,delta,abs_delta
18156913_gab,hate_speech,0.937078,0.937078,0.0,0.0
11154758_gab,offensive,0.985274,0.985274,0.0,0.0
11959949_gab,hate_speech,0.993101,0.993101,0.0,0.0
1179105246137724928_twitter,normal,0.039412,0.006214,0.033198,0.033198
1178412537496383488_twitter,hate_speech,0.980753,0.980753,0.0,0.0
11800714_gab,offensive,0.986012,0.986012,0.0,0.0
22347127_gab,hate_speech,0.003142,0.003142,0.0,0.0
22100176_gab,hate_speech,0.05971,0.088011,-0.028301,0.028301
17868129_gab,hate_speech,0.020951,0.038801,-0.01785,0.01785
16825506_gab,hate_speech,0.065352,0.065352,0.0,0.0
8968572_gab,hate_speech,0.991833,0.991833,0.0,0.0
1194611863226605568_twitter,normal,0.985766,0.985766,0.0,0.0
1118978139256950784_twitter,offensive,0.984339,0.984339,0.0,0.0
26619153_gab,hate_speech,0.995594,0.993969,0.001625,0.001625
1178345792639262720_twitter,offensive,0.007803,0.007803,0.0,0.0
17941100_gab,normal,0.439417,0.439417,0.0,0.0
1178454688716460033_twitter,hate_speech,0.992795,0.992795,0.0,0.0
20009853_gab,normal,0.001801,0.001729,7.2e-05,7.2e-05
1082260457396809728_twitter,normal,0.002252,0.002252,0.0,0.0
2901472_gab,hate_speech,0.995712,0.995712,0.0,0.0
9713831_gab,hate_speech,0.465703,0.465703,0.0,0.0
27715195_gab,offensive,0.759989,0.759989,0.0,0.0
4326272_gab,offensive,0.391457,0.391457,0.0,0.0
1088890307884838918_twitter,normal,0.005131,0.005131,0.0,0.0
1179061893237022726_twitter,normal,0.001934,0.002339,-0.000405,0.000405
1179045983495299079_twitter,normal,0.005874,0.00842,-0.002546,0.002546
27280463_gab,hate_speech,0.992432,0.992432,0.0,0.0
27026013_gab,offensive,0.964078,0.964078,0.0,0.0
12585712_gab,offensive,0.133905,0.069774,0.064131,0.064131
1179055528661700609_twitter,normal,0.001656,0.001656,0.0,0.0
15673157_gab,hate_speech,0.816766,0.914015,-0.097249,0.097249
4812102_gab,offensive,0.01022,0.011825,-0.001605,0.001605
20188913_gab,hate_speech,0.73293,0.749069,-0.016139,0.016139
1179094894893240320_twitter,normal,0.968974,0.968974,0.0,0.0
1144372754134818816_twitter,offensive,0.94012,0.94012,0.0,0.0
1076718387361968128_twitter,offensive,0.078359,0.078359,0.0,0.0
12172065_gab,hate_speech,0.990265,0.990948,-0.000683,0.000683
4361301_gab,normal,0.259035,0.018686,0.240349,0.240349
1178722465591283713_twitter,normal,0.004836,0.004836,0.0,0.0
