id,gold_label,orig_prob,swap_prob,delta,abs_delta
18156913_gab,hate_speech,0.455789,0.455789,0.0,0.0
11154758_gab,offensive,0.424468,0.424468,0.0,0.0
11959949_gab,hate_speech,0.147594,0.147594,0.0,0.0
1179105246137724928_twitter,normal,0.202905,0.067005,0.1359,0.1359
1178412537496383488_twitter,hate_speech,0.786579,0.786579,0.0,0.0
11800714_gab,offensive,0.521668,0.521668,0.0,0.0
22347127_gab,hate_speech,0.901572,0.901572,0.0,0.0
22100176_gab,hate_speech,0.612199,0.599081,0.013118,0.013118
17868129_gab,hate_speech,0.589292,0.533351,0.055941,0.055941
16825506_gab,hate_speech,0.939967,0.939967,0.0,0.0
8968572_gab,hate_speech,0.840035,0.840035,0.0,0.0
1194611863226605568_twitter,normal,0.752049,0.752049,0.0,0.0
1118978139256950784_twitter,offensive,0.198548,0.198548,0.0,0.0
26619153_gab,hate_speech,0.31795,0.204956,0.112994,0.112994
1178345792639262720_twitter,offensive,0.313515,0.313515,0.0,0.0
17941100_gab,normal,0.166858,0.166858,0.0,0.0
1178454688716460033_twitter,hate_speech,0.845172,0.845172,0.0,0.0
20009853_gab,normal,0.068892,0.071415,-0.002523,0.002523
1082260457396809728_twitter,normal,0.041795,0.041795,0.0,0.0
2901472_gab,hate_speech,0.593998,0.593998,0.0,0.0
9713831_gab,hate_speech,0.70482,0.70482,0.0,0.0
27715195_gab,offensive,0.847656,0.847656,0.0,0.0
4326272_gab,offensive,0.878739,0.878739,0.0,0.0
1088890307884838918_twitter,normal,0.073985,0.073985,0.0,0.0
1179061893237022726_twitter,normal,0.046169,0.065682,-0.019513,0.019513
1179045983495299079_twitter,normal,0.025898,0.026555,-0.000657,0.000657
27280463_gab,hate_speech,0.24549,0.24549,0.0,0.0
27026013_gab,offensive,0.042308,0.042308,0.0,0.0
12585712_gab,offensive,0.708451,0.654764,0.053687,0.053687
1179055528661700609_twitter,normal,0.038526,0.038526,0.0,0.0
15673157_gab,hate_speech,0.259751,0.258851,0.0009,0.0009
4812102_gab,offensive,0.276209,0.291851,-0.015642,0.015642
20188913_gab,hate_speech,0.515148,0.496832,0.018316,0.018316
1179094894893240320_twitter,normal,0.023922,0.023922,0.0,0.0
1144372754134818816_twitter,offensive,0.067638,0.067638,0.0,0.0
1076718387361968128_twitter,offensive,0.04766,0.04766,0.0,0.0
12172065_gab,hate_speech,0.892158,0.892441,-0.000283,0.000283
4361301_gab,normal,0.126642,0.116296,0.010346,0.010346
1178722465591283713_twitter,normal,0.044376,0.044376,0.0,0.0
19956346_gab,hate_speech,0.853994,0.853994,0.0,0.0
13925301_gab,hate_speech,0.849101,0.849101,0.0,0.0
13075034_gab,hate_speech,0.83477,0.83477,0.0,0.0
27511340_gab,normal,0.12522,0.12522,0.0,0.0
12376502_gab,offensive,0.06196,0.093257,-0.031297,0.031297
12443667_gab,offensive,0.346687,0.346687,0.0,0.0
1203671580825542657_twitter,offensive,0.105058,0.105058,0.0,0.0
16002165_gab,hate_speech,0.873662,0.873662,0.0,0.0
1237051164857794572_twitter,normal,0.064065,0.064065,0.0,0.0
1264174583789174786_twitter,normal,0.029659,0.029659,0.0,0.0
1105927818184056832_twitter,offensive,0.154145,0.163506,-0.009361,0.009361
1178929320527462401_twitter,normal,0.061363,0.064083,-0.00272,0.00272
1179004403673714689_twitter,normal,0.154561,0.154561,0.0,0.0
1163082929557450753_twitter,normal,0.062616,0.060841,0.001775,0.001775
25730290_gab,hate_speech,0.738146,0.738146,0.0,0.0
21127890_gab,hate_speech,0.82465,0.82465,0.0,0.0
21757892_gab,hate_speech,0.453949,0.453949,0.0,0.0
10512629_gab,hate_speech,0.811713,0.811713,0.0,0.0
1179070924672425985_twitter,normal,0.070276,0.075304,-0.005028,0.005028
16430676_gab,normal,0.423706,0.412584,0.011122,0.011122
20318223_gab,normal,0.831528,0.831528,0.0,0.0
4015071_gab,hate_speech,0.881738,0.881738,0.0,0.0
1178810018680000513_twitter,normal,0.047144,0.047144,0.0,0.0
15314387_gab,offensive,0.065185,0.065185,0.0,0.0
1178720661495304195_twitter,normal,0.773989,0.773989,0.0,0.0
1178502719868325888_twitter,hate_speech,0.783119,0.783119,0.0,0.0
20069758_gab,hate_speech,0.885809,0.885809,0.0,0.0
1194735603566481415_twitter,offensive,0.120062,0.120062,0.0,0.0
1178923484887433217_twitter,normal,0.037286,0.037286,0.0,0.0
1178962472285327360_twitter,normal,0.396535,0.29576,0.100775,0.100775
1179004417309323264_twitter,normal,0.054087,0.078188,-0.024101,0.024101
1178501413346906113_twitter,offensive,0.37007,0.35881,0.01126,0.01126
1179019049969373184_twitter,normal,0.061427,0.061427,0.0,0.0
1233848625022763010_twitter,offensive,0.032103,0.032103,0.0,0.0
6615207_gab,normal,0.019618,0.01996,-0.000342,0.000342
9053284_gab,hate_speech,0.79435,0.79435,0.0,0.0
1160017189296050177_twitter,offensive,0.049511,0.049511,0.0,0.0
1142977246283599872_twitter,normal,0.041044,0.040921,0.000123,0.000123
1179098097160470529_twitter,normal,0.044704,0.044058,0.000646,0.000646
9551353_gab,hate_speech,0.198305,0.198305,0.0,0.0
11620676_gab,offensive,0.063807,0.063807,0.0,0.0
1178056433188904960_twitter,normal,0.042842,0.042842,0.0,0.0
2521549_gab,hate_speech,0.814875,0.814875,0.0,0.0
1185410004838428672_twitter,normal,0.02755,0.02755,0.0,0.0
27802700_gab,hate_speech,0.919837,0.919837,0.0,0.0
1186749782980734977_twitter,offensive,0.03287,0.03287,0.0,0.0
1181975809361371137_twitter,offensive,0.063457,0.063457,0.0,0.0
26251002_gab,normal,0.045186,0.045186,0.0,0.0
1178379130804432896_twitter,normal,0.03991,0.03991,0.0,0.0
23990651_gab,hate_speech,0.923386,0.923386,0.0,0.0
1178963201238716417_twitter,normal,0.844343,0.844343,0.0,0.0
1178806441991385089_twitter,normal,0.059789,0.059789,0.0,0.0
1171479257417011200_twitter,normal,0.024212,0.024654,-0.000442,0.000442
1178841789018640385_twitter,offensive,0.111847,0.111847,0.0,0.0
1087809548998594563_twitter,offensive,0.040162,0.040162,0.0,0.0
1118341460657459200_twitter,offensive,0.04175,0.0416,0.00015,0.00015
1178844885715181569_twitter,normal,0.063001,0.063001,0.0,0.0
19840406_gab,hate_speech,0.86892,0.86892,0.0,0.0
1252475227096915968_twitter,hate_speech,0.249202,0.249202,0.0,0.0
9537035_gab,offensive,0.367608,0.367608,0.0,0.0
13395977_gab,offensive,0.216735,0.111502,0.105233,0.105233
1178323077429649408_twitter,normal,0.035309,0.039525,-0.004216,0.004216
1179070708347015169_twitter,normal,0.081874,0.081874,0.0,0.0
1226925254062362627_twitter,normal,0.179572,0.21402,-0.034448,0.034448
1179021718515568640_twitter,normal,0.049643,0.049643,0.0,0.0
13879478_gab,offensive,0.179276,0.198201,-0.018925,0.018925
1178976586168754177_twitter,hate_speech,0.792778,0.792778,0.0,0.0
11206682_gab,offensive,0.089999,0.089999,0.0,0.0
13380605_gab,hate_speech,0.100535,0.100535,0.0,0.0
1217567280617443328_twitter,offensive,0.036342,0.036342,0.0,0.0
16023241_gab,hate_speech,0.865193,0.865193,0.0,0.0
1246464315504328705_twitter,offensive,0.030586,0.030586,0.0,0.0
24227903_gab,offensive,0.922945,0.922945,0.0,0.0
7141864_gab,offensive,0.073181,0.073181,0.0,0.0
1111868668147724289_twitter,normal,0.047051,0.047051,0.0,0.0
20693707_gab,offensive,0.110228,0.110228,0.0,0.0
1179088738707759104_twitter,normal,0.043441,0.043441,0.0,0.0
1106389762066124801_twitter,offensive,0.117622,0.117622,0.0,0.0
10592982_gab,offensive,0.763302,0.763302,0.0,0.0
20339304_gab,hate_speech,0.377211,0.244447,0.132764,0.132764
18550891_gab,offensive,0.767166,0.768441,-0.001275,0.001275
20562194_gab,normal,0.119196,0.136943,-0.017747,0.017747
21749687_gab,hate_speech,0.300182,0.300182,0.0,0.0
17524246_gab,hate_speech,0.938661,0.938661,0.0,0.0
21168212_gab,normal,0.133273,0.133273,0.0,0.0
1213327950763966467_twitter,offensive,0.088611,0.088611,0.0,0.0
2183555_gab,hate_speech,0.761675,0.761675,0.0,0.0
1178794715056967680_twitter,hate_speech,0.757443,0.757443,0.0,0.0
26948887_gab,offensive,0.13482,0.13482,0.0,0.0
1179087612583141376_twitter,normal,0.034558,0.034558,0.0,0.0
18452041_gab,hate_speech,0.933855,0.933855,0.0,0.0
1178567880251707392_twitter,normal,0.070213,0.070213,0.0,0.0
1146251013822668800_twitter,offensive,0.092829,0.117209,-0.02438,0.02438
1178605473743982594_twitter,normal,0.275317,0.275317,0.0,0.0
13532804_gab,hate_speech,0.920238,0.926247,-0.006009,0.006009
21055613_gab,offensive,0.371865,0.371865,0.0,0.0
4300173_gab,hate_speech,0.413577,0.381853,0.031724,0.031724
14192763_gab,offensive,0.315466,0.216906,0.09856,0.09856
1217101519943802883_twitter,offensive,0.103704,0.095467,0.008237,0.008237
13034303_gab,normal,0.750326,0.750326,0.0,0.0
11135587_gab,hate_speech,0.383666,0.327987,0.055679,0.055679
12345088_gab,hate_speech,0.891774,0.891774,0.0,0.0
18230837_gab,hate_speech,0.860881,0.860881,0.0,0.0
22261822_gab,offensive,0.042323,0.042323,0.0,0.0
22398797_gab,normal,0.070054,0.070054,0.0,0.0
1237773908570509313_twitter,offensive,0.059933,0.08451,-0.024577,0.024577
13107427_gab,hate_speech,0.831172,0.831172,0.0,0.0
10147319_gab,offensive,0.038684,0.038684,0.0,0.0
26342460_gab,hate_speech,0.856213,0.856213,0.0,0.0
1179024615844171777_twitter,normal,0.062959,0.054313,0.008646,0.008646
27683915_gab,hate_speech,0.912595,0.912595,0.0,0.0
3483203_gab,hate_speech,0.754985,0.735357,0.019628,0.019628
2547072_gab,offensive,0.044598,0.044598,0.0,0.0
1270643899254497286_twitter,normal,0.151152,0.151152,0.0,0.0
1122013674485506048_twitter,normal,0.077311,0.077311,0.0,0.0
1179093281692700672_twitter,normal,0.200812,0.214432,-0.01362,0.01362
21969771_gab,hate_speech,0.930435,0.929075,0.00136,0.00136
27386050_gab,hate_speech,0.208043,0.096525,0.111518,0.111518
1123690490136756225_twitter,normal,0.028673,0.028673,0.0,0.0
1178981918731362310_twitter,normal,0.124253,0.125942,-0.001689,0.001689
16845479_gab,hate_speech,0.892686,0.892686,0.0,0.0
1084991014455201794_twitter,normal,0.045537,0.045537,0.0,0.0
20567241_gab,offensive,0.311158,0.259004,0.052154,0.052154
15108536_gab,offensive,0.077347,0.102193,-0.024846,0.024846
1195959027525726209_twitter,normal,0.057326,0.057326,0.0,0.0
1179082883333378048_twitter,normal,0.032522,0.032522,0.0,0.0
11576454_gab,normal,0.185709,0.209123,-0.023414,0.023414
1090673738545283074_twitter,hate_speech,0.897167,0.897167,0.0,0.0
18428729_gab,hate_speech,0.5695,0.5695,0.0,0.0
1084834432710656003_twitter,offensive,0.050353,0.050353,0.0,0.0
12177462_gab,normal,0.179328,0.184068,-0.00474,0.00474
25233620_gab,normal,0.821852,0.821852,0.0,0.0
23513033_gab,normal,0.043898,0.043898,0.0,0.0
25102150_gab,hate_speech,0.843333,0.843333,0.0,0.0
