id,gold_label,orig_prob,swap_prob,delta,abs_delta
18156913_gab,hate_speech,0.999232,0.999232,0.0,0.0
11154758_gab,offensive,0.997643,0.997643,0.0,0.0
11959949_gab,hate_speech,0.998923,0.998923,0.0,0.0
1179105246137724928_twitter,normal,0.007965,0.001794,0.006171,0.006171
1178412537496383488_twitter,hate_speech,0.998096,0.998096,0.0,0.0
11800714_gab,offensive,0.997119,0.997119,0.0,0.0
22347127_gab,hate_speech,0.856237,0.856237,0.0,0.0
22100176_gab,hate_speech,0.993945,0.997217,-0.003272,0.003272
17868129_gab,hate_speech,0.978356,0.901553,0.076803,0.076803
16825506_gab,hate_speech,0.998536,0.998536,0.0,0.0
8968572_gab,hate_speech,0.999508,0.999508,0.0,0.0
1194611863226605568_twitter,normal,0.245724,0.245724,0.0,0.0
1118978139256950784_twitter,offensive,0.899634,0.899634,0.0,0.0
26619153_gab,hate_speech,0.999257,0.995653,0.003604,0.003604
1178345792639262720_twitter,offensive,0.999495,0.999495,0.0,0.0
17941100_gab,normal,0.504582,0.504582,0.0,0.0
1178454688716460033_twitter,hate_speech,0.999727,0.999727,0.0,0.0
20009853_gab,normal,0.003025,0.003752,-0.000727,0.000727
1082260457396809728_twitter,normal,0.10142,0.10142,0.0,0.0
2901472_gab,hate_speech,0.996298,0.996298,0.0,0.0
9713831_gab,hate_speech,0.682543,0.682543,0.0,0.0
27715195_gab,offensive,0.998912,0.998912,0.0,0.0
4326272_gab,offensive,0.997139,0.997139,0.0,0.0
1088890307884838918_twitter,normal,0.210475,0.210475,0.0,0.0
1179061893237022726_twitter,normal,0.010243,0.089728,-0.079485,0.079485
1179045983495299079_twitter,normal,0.386237,0.531713,-0.145476,0.145476
27280463_gab,hate_speech,0.99961,0.99961,0.0,0.0
27026013_gab,offensive,0.872489,0.872489,0.0,0.0
12585712_gab,offensive,0.973635,0.957269,0.016366,0.016366
1179055528661700609_twitter,normal,0.059616,0.059616,0.0,0.0
15673157_gab,hate_speech,0.996359,0.996548,-0.000189,0.000189
4812102_gab,offensive,0.984644,0.998078,-0.013434,0.013434
20188913_gab,hate_speech,0.999338,0.999505,-0.000167,0.000167
1179094894893240320_twitter,normal,0.894229,0.894229,0.0,0.0
1144372754134818816_twitter,offensive,0.588713,0.588713,0.0,0.0
1076718387361968128_twitter,offensive,0.821314,0.821314,0.0,0.0
12172065_gab,hate_speech,0.999701,0.999643,5.8e-05,5.8e-05
4361301_gab,normal,0.111082,0.066858,0.044224,0.044224
1178722465591283713_twitter,normal,0.996249,0.996249,0.0,0.0
19956346_gab,hate_speech,0.992364,0.992364,0.0,0.0
13925301_gab,hate_speech,0.997619,0.997619,0.0,0.0
13075034_gab,hate_speech,0.998866,0.998866,0.0,0.0
27511340_gab,normal,0.362993,0.362993,0.0,0.0
12376502_gab,offensive,0.997649,0.997513,0.000136,0.000136
12443667_gab,offensive,0.003126,0.003126,0.0,0.0
1203671580825542657_twitter,offensive,0.358768,0.358768,0.0,0.0
16002165_gab,hate_speech,0.999352,0.999352,0.0,0.0
